# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: D:\Documentos\Designs\Quartus\AES\aes.csv
# Generated on: Fri Oct 25 14:13:59 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Live I/O Check Error,Differential Pair
chipher[127],Output,PIN_A14,7,B7_N0,PIN_A14,,,,,,
chipher[126],Output,PIN_B6,8,B8_N0,PIN_B6,,,,,,
chipher[125],Output,PIN_E9,8,B8_N0,PIN_E9,,,,,,
chipher[124],Output,PIN_E12,7,B7_N0,PIN_E12,,,,,,
chipher[123],Output,PIN_A2,8,B8_N0,PIN_A2,,,,,,
chipher[122],Output,PIN_P8,3,B3_N0,PIN_P8,,,,,,
chipher[121],Output,PIN_B14,7,B7_N0,PIN_B14,,,,,,
chipher[120],Output,PIN_C10,7,B7_N0,PIN_C10,,,,,,
chipher[119],Output,PIN_R8,3,B3_N0,PIN_R8,,,,,,
chipher[118],Output,PIN_C17,6,B6_N0,PIN_C17,,,,,,
chipher[117],Output,PIN_E7,8,B8_N0,PIN_E7,,,,,,
chipher[116],Output,PIN_M18,5,B5_N0,PIN_M18,,,,,,
chipher[115],Output,PIN_B5,8,B8_N0,PIN_B5,,,,,,
chipher[114],Output,PIN_E13,7,B7_N0,PIN_E13,,,,,,
chipher[113],Output,PIN_B3,8,B8_N0,PIN_B3,,,,,,
chipher[112],Output,PIN_C7,8,B8_N0,PIN_C7,,,,,,
chipher[111],Output,PIN_G17,6,B6_N0,PIN_G17,,,,,,
chipher[110],Output,PIN_R2,2,B2_N0,PIN_R2,,,,,,
chipher[109],Output,PIN_D12,7,B7_N0,PIN_D12,,,,,,
chipher[108],Output,PIN_A12,7,B7_N0,PIN_A12,,,,,,
chipher[107],Output,PIN_T6,3,B3_N0,PIN_T6,,,,,,
chipher[106],Output,PIN_B13,7,B7_N0,PIN_B13,,,,,,
chipher[105],Output,PIN_D10,7,B7_N0,PIN_D10,,,,,,
chipher[104],Output,PIN_H15,6,B6_N0,PIN_H15,,,,,,
chipher[103],Output,PIN_J13,6,B6_N0,PIN_J13,,,,,,
chipher[102],Output,PIN_L17,5,B5_N0,PIN_L17,,,,,,
chipher[101],Output,PIN_C5,8,B8_N0,PIN_C5,,,,,,
chipher[100],Output,PIN_K18,5,B5_N0,PIN_K18,,,,,,
chipher[99],Output,PIN_C1,1,B1_N0,PIN_C1,,,,,,
chipher[98],Output,PIN_A4,8,B8_N0,PIN_A4,,,,,,
chipher[97],Output,PIN_V12,4,B4_N0,PIN_V12,,,,,,
chipher[96],Output,PIN_A7,8,B8_N0,PIN_A7,,,,,,
chipher[95],Output,PIN_P12,4,B4_N0,PIN_P12,,,,,,
chipher[94],Output,PIN_U15,4,B4_N0,PIN_U15,,,,,,
chipher[93],Output,PIN_U3,3,B3_N0,PIN_U3,,,,,,
chipher[92],Output,PIN_G18,6,B6_N0,PIN_G18,,,,,,
chipher[91],Output,PIN_A13,7,B7_N0,PIN_A13,,,,,,
chipher[90],Output,PIN_M1,2,B2_N0,PIN_M1,,,,,,
chipher[89],Output,PIN_L1,2,B2_N0,PIN_L1,,,,,,
chipher[88],Output,PIN_N9,3,B3_N0,PIN_N9,,,,,,
chipher[87],Output,PIN_L3,2,B2_N0,PIN_L3,,,,,,
chipher[86],Output,PIN_U12,4,B4_N0,PIN_U12,,,,,,
chipher[85],Output,PIN_V6,3,B3_N0,PIN_V6,,,,,,
chipher[84],Output,PIN_K17,5,B5_N0,PIN_K17,,,,,,
chipher[83],Output,PIN_V7,3,B3_N0,PIN_V7,,,,,,
chipher[82],Output,PIN_V11,4,B4_N0,PIN_V11,,,,,,
chipher[81],Output,PIN_L2,2,B2_N0,PIN_L2,,,,,,
chipher[80],Output,PIN_U11,4,B4_N0,PIN_U11,,,,,,
chipher[79],Output,PIN_R1,2,B2_N0,PIN_R1,,,,,,
chipher[78],Output,PIN_H16,6,B6_N0,PIN_H16,,,,,,
chipher[77],Output,PIN_F10,7,B7_N0,PIN_F10,,,,,,
chipher[76],Output,PIN_E1,1,B1_N0,PIN_E1,,,,,,
chipher[75],Output,PIN_B4,8,B8_N0,PIN_B4,,,,,,
chipher[74],Output,PIN_H14,6,B6_N0,PIN_H14,,,,,,
chipher[73],Output,PIN_H2,1,B1_N0,PIN_H2,,,,,,
chipher[72],Output,PIN_P1,2,B2_N0,PIN_P1,,,,,,
chipher[71],Output,PIN_A3,8,B8_N0,PIN_A3,,,,,,
chipher[70],Output,PIN_T2,2,B2_N0,PIN_T2,,,,,,
chipher[69],Output,PIN_B15,7,B7_N0,PIN_B15,,,,,,
chipher[68],Output,PIN_D3,1,B1_N0,PIN_D3,,,,,,
chipher[67],Output,PIN_C2,1,B1_N0,PIN_C2,,,,,,
chipher[66],Output,PIN_F3,1,B1_N0,PIN_F3,,,,,,
chipher[65],Output,PIN_H6,1,B1_N0,PIN_H6,,,,,,
chipher[64],Output,PIN_F8,8,B8_N0,PIN_F8,,,,,,
chipher[63],Output,PIN_B11,7,B7_N0,PIN_B11,,,,,,
chipher[62],Output,PIN_U13,4,B4_N0,PIN_U13,,,,,,
chipher[61],Output,PIN_H1,1,B1_N0,PIN_H1,,,,,,
chipher[60],Output,PIN_V4,3,B3_N0,PIN_V4,,,,,,
chipher[59],Output,PIN_K2,2,B2_N0,PIN_K2,,,,,,
chipher[58],Output,PIN_P9,3,B3_N0,PIN_P9,,,,,,
chipher[57],Output,PIN_U7,3,B3_N0,PIN_U7,,,,,,
chipher[56],Output,PIN_P2,2,B2_N0,PIN_P2,,,,,,
chipher[55],Output,PIN_U5,3,B3_N0,PIN_U5,,,,,,
chipher[54],Output,PIN_G2,1,B1_N0,PIN_G2,,,,,,
chipher[53],Output,PIN_G1,1,B1_N0,PIN_G1,,,,,,
chipher[52],Output,PIN_P11,4,B4_N0,PIN_P11,,,,,,
chipher[51],Output,PIN_D17,6,B6_N0,PIN_D17,,,,,,
chipher[50],Output,PIN_H17,6,B6_N0,PIN_H17,,,,,,
chipher[49],Output,PIN_H13,6,B6_N0,PIN_H13,,,,,,
chipher[48],Output,PIN_D18,6,B6_N0,PIN_D18,,,,,,
chipher[47],Output,PIN_U8,3,B3_N0,PIN_U8,,,,,,
chipher[46],Output,PIN_T3,2,B2_N0,PIN_T3,,,,,,
chipher[45],Output,PIN_R11,4,B4_N0,PIN_R11,,,,,,
chipher[44],Output,PIN_U4,3,B3_N0,PIN_U4,,,,,,
chipher[43],Output,PIN_K5,2,B2_N0,PIN_K5,,,,,,
chipher[42],Output,PIN_V8,3,B3_N0,PIN_V8,,,,,,
chipher[41],Output,PIN_U6,3,B3_N0,PIN_U6,,,,,,
chipher[40],Output,PIN_F6,8,B8_N0,PIN_F6,,,,,,
chipher[39],Output,PIN_L6,2,B2_N0,PIN_L6,,,,,,
chipher[38],Output,PIN_V5,3,B3_N0,PIN_V5,,,,,,
chipher[37],Output,PIN_V13,4,B4_N0,PIN_V13,,,,,,
chipher[36],Output,PIN_L5,2,B2_N0,PIN_L5,,,,,,
chipher[35],Output,PIN_M3,2,B2_N0,PIN_M3,,,,,,
chipher[34],Output,PIN_E17,6,B6_N0,PIN_E17,,,,,,
chipher[33],Output,PIN_F9,8,B8_N0,PIN_F9,,,,,,
chipher[32],Output,PIN_V3,3,B3_N0,PIN_V3,,,,,,
chipher[31],Output,PIN_A18,7,B7_N0,PIN_A18,,,,,,
chipher[30],Output,PIN_A8,8,B8_N0,PIN_A8,,,,,,
chipher[29],Output,PIN_D2,1,B1_N0,PIN_D2,,,,,,
chipher[28],Output,PIN_A16,7,B7_N0,PIN_A16,,,,,,
chipher[27],Output,PIN_B1,1,B1_N0,PIN_B1,,,,,,
chipher[26],Output,PIN_F7,8,B8_N0,PIN_F7,,,,,,
chipher[25],Output,PIN_C14,7,B7_N0,PIN_C14,,,,,,
chipher[24],Output,PIN_B8,8,B8_N0,PIN_B8,,,,,,
chipher[23],Output,PIN_D9,8,B8_N0,PIN_D9,,,,,,
